id,airline,departureAirport,arrivalAirport
273,2,133,3332
274,2,133,3332
275,2,133,4010
276,2,134,3885
277,2,134,3320
278,2,134,3320
279,2,135,3320
280,2,135,3320
281,2,135,3320
282,2,136,3320
283,2,136,3320
284,2,137,3320
285,2,138,3320
286,2,138,3320
287,2,138,3320
288,2,139,3320
289,2,139,3320
290,2,139,4291
291,2,140,4291
292,2,140,3275
293,2,141,3275
294,2,142,2009
295,2,143,2009
296,2,144,2009
297,2,144,2009
298,2,145,3322
299,2,146,3322
300,2,146,3322
301,2,146,3322
302,2,147,3322
303,2,147,3322
304,2,148,3322
305,2,149,3322
306,2,149,3322
307,2,150,3940
308,2,150,3940
309,2,151,3940
310,2,151,3940
311,2,151,3940
312,2,152,3999
313,2,153,3999
314,2,153,3999
315,2,153,3999
316,2,154,3999
317,2,155,3999
318,2,156,3999
319,2,156,3999
320,2,156,2011
321,2,157,3336
322,2,158,3336
323,2,159,3336
324,2,159,3179
325,2,159,3728
326,2,160,3728
327,2,161,6242
328,2,162,6242
329,2,163,6242
330,2,164,3992
331,2,164,3992
332,2,165,3992
333,2,166,3337
334,2,166,3337
335,2,166,3337
336,2,167,3325
337,2,167,3325
338,2,167,3339
339,2,168,3339
340,2,168,3339
341,2,169,3339
342,2,169,3339
343,2,169,3339
344,2,170,3339
345,2,170,3339
346,2,170,3339
347,2,171,3339
348,2,172,3339
349,2,172,3339
350,2,172,3339
351,2,173,3339
352,2,174,3339
353,2,174,3339
354,2,175,3339
355,2,175,3339
356,2,175,3339
357,2,176,3339
358,2,177,3339
359,2,178,3326
360,2,178,2397
361,2,179,2397
362,2,179,1960
363,2,179,2279
364,2,180,2279
365,2,180,2279
366,2,181,4320
367,2,181,4320
368,2,181,4320
369,2,182,3321
370,2,182,3321
371,2,183,3321
372,2,184,3321
373,2,184,3321
374,2,184,3321
375,2,185,3321
376,2,185,3321
377,2,186,3321
378,2,186,3321
379,2,186,3321
380,2,187,3364
381,2,187,3351
382,2,188,3351
383,2,188,3351
384,2,188,3351
385,2,189,3351
386,2,189,3351
387,2,189,3351
388,2,190,3351
389,2,191,3328
390,2,191,3316
391,2,191,3316
392,2,192,3316
393,2,192,3316
394,2,192,3316
395,2,193,3316
396,2,193,3316
397,2,194,3361
398,2,194,3361
399,2,194,3361
400,2,195,3361
401,2,195,3361
402,2,195,3361
403,2,196,3361
404,2,196,3361
405,2,196,3361
406,2,197,3361
407,2,197,3361
408,2,197,3361
409,2,198,3361
410,2,198,3361
411,2,198,3361
412,2,199,3361
413,2,199,3361
414,2,200,3361
415,2,200,3361
416,2,200,3361
417,2,201,3361
418,2,202,3361
419,2,202,3330
420,2,202,3330
421,2,203,3330
422,2,204,2042
423,2,204,2042
424,2,204,2042
425,2,205,2030
426,2,205,2030
427,2,206,2030
428,2,206,2030
429,3,207,532
430,3,208,532
431,3,209,1055
432,3,209,1055
433,3,209,1706
434,3,210,1064
435,3,211,1064
436,3,212,1064
437,3,213,1064
438,3,213,1230
439,3,214,1230
440,3,214,1230
441,3,215,1230
442,3,215,1230
443,3,215,1230
444,3,216,1230
445,3,217,1230
446,3,217,1230
447,3,217,1230
448,3,218,1230
449,3,218,1230
450,3,218,1230
451,3,219,1230
452,3,219,1230
453,3,220,1517
454,3,220,1324
455,3,220,1324
456,3,221,1324
457,3,221,1324
458,3,221,1324
459,3,222,1324
460,3,222,1212
461,3,224,1212
462,3,225,1212
463,3,226,1212
464,3,227,1212
465,3,228,1212
466,3,229,1212
467,3,230,1212
468,3,231,1212
469,3,232,1212
470,3,232,1212
471,3,232,1212
472,3,233,2170
473,3,233,580
474,3,233,580
475,3,234,580
476,3,235,580
477,3,236,580
478,3,237,580
479,3,238,580
480,3,238,580
481,3,239,580
482,3,239,580
483,3,240,580
484,3,240,580
485,3,240,580
486,3,241,580
487,3,241,580
488,3,242,580
489,3,243,580
490,3,243,580
491,3,244,580
492,3,244,737
493,3,245,3941
494,3,245,3941
495,3,246,3941
496,3,246,3941
497,3,247,3941
498,3,248,3941
499,3,249,3941
500,3,250,3941
501,3,251,1688
502,3,251,1688
503,3,251,1688
504,3,252,1218
505,3,253,1218
506,3,253,1218
507,3,253,1218
508,3,254,1218
509,3,255,1218
510,3,255,1218
511,3,255,1218
512,3,256,1218
513,3,257,1218
514,3,257,1218
515,3,257,1218
516,3,258,1218
517,3,258,1218
518,3,258,1506
519,3,259,1506
520,3,259,1506
521,3,259,1739
522,3,260,1403
523,3,261,465
524,3,261,465
525,3,261,465
526,3,262,465
527,3,263,465
528,3,263,465
529,3,264,465
530,3,265,465
531,3,265,465
532,3,265,465
533,3,266,465
534,3,266,465
535,3,267,465
536,3,267,465
537,3,268,465
538,3,268,465
539,3,268,465
540,3,269,465
541,3,270,465
542,3,270,465
543,3,270,465
544,3,271,465
545,3,271,636
546,3,271,469
547,3,272,1321
548,3,272,1321
549,3,272,1321
550,3,273,1321
551,3,273,1321
552,3,23,1321
553,3,273,1216
554,3,274,1216
555,3,274,1216
556,3,274,1216
557,3,275,1280
558,3,275,1280
559,3,275,1280
560,3,276,4315
561,3,276,4315
562,3,276,4315
563,3,277,4315
564,3,277,1538
565,3,277,1538
566,3,278,1264
567,3,279,1264
568,3,279,1264
569,3,279,1264
570,3,36,1264
571,3,280,1264
572,3,280,1264
573,3,280,1264
574,3,281,1264
575,3,282,1264
576,3,282,1264
577,3,282,1501
578,3,283,1501
579,3,283,1501
580,3,283,490
581,3,284,490
582,3,284,490
583,3,284,490
584,3,285,490
585,3,286,490
586,3,287,490
587,3,287,490
588,3,288,490
589,3,288,490
590,3,288,490
591,3,289,490
592,3,289,490
593,3,290,490
594,3,290,490
595,3,290,490
596,3,291,490
597,3,291,490
598,3,291,490
599,3,292,490
600,3,293,490
601,3,294,490
602,3,295,490
603,3,296,490
604,3,297,490
605,3,298,490
606,3,298,490
607,3,298,490
608,3,299,490
609,3,299,490
610,3,299,490
611,3,300,490
612,3,301,490
613,3,302,490
614,3,303,490
615,3,304,490
616,3,305,490
617,3,305,490
618,3,306,490
619,3,307,490
620,3,307,302
621,3,308,302
622,3,309,302
623,3,309,302
624,3,310,302
625,3,310,302
626,3,311,302
627,3,312,4053
628,3,312,4053
629,3,312,4053
630,3,313,4053
631,3,313,4053
632,3,313,4053
633,3,314,4053
634,3,314,4053
635,3,315,4053
636,3,316,4053
637,3,317,4053
638,3,318,4053
639,3,318,4053
640,3,318,4053
641,3,319,4053
642,3,319,4053
643,3,319,4053
644,3,320,4053
645,3,6891,4053
646,3,6891,4053
647,3,6891,4053
648,3,322,4053
649,3,322,4053
650,3,322,4053
651,3,323,4053
652,3,323,4053
653,3,323,4053
654,3,324,4053
655,3,325,4053
656,3,325,4053
657,3,326,4053
658,3,326,4053
659,3,327,4053
660,3,327,4053
661,3,327,4053
662,3,328,4053
663,3,328,4053
664,3,328,4053
665,3,329,4053
666,3,330,4053
667,3,330,4053
668,3,330,1489
669,3,331,1489
670,3,332,1489
671,3,332,1489
672,3,332,1489
673,3,333,1489
674,3,333,1519
675,3,334,1519
676,3,334,1519
677,3,334,1519
678,3,335,1519
679,3,335,1519
680,3,336,1382
681,3,337,1382
682,3,337,1382
683,3,337,1382
684,3,338,1382
685,3,338,1382
686,3,338,1382
687,3,339,1382
688,3,340,1382
689,3,340,1382
690,3,341,1382
691,3,341,1382
692,3,341,1382
693,3,342,1382
694,3,343,1382
695,3,344,1382
696,3,345,1382
697,3,345,1382
698,3,345,1382
699,3,346,1382
700,3,346,1382
701,3,347,1382
702,3,348,1382
703,3,348,1382
704,3,349,1382
705,3,349,1382
706,3,349,1382
707,3,350,1382
708,3,350,1382
709,3,350,1382
710,3,351,1382
711,3,352,1382
712,3,353,1382
713,3,354,1382
714,3,355,1382
715,3,355,1382
716,3,356,1382
717,3,356,1460
718,3,356,1460
719,3,357,1460
720,3,357,1460
721,3,357,1460
722,3,358,1460
723,3,359,1460
724,3,359,1460
725,3,359,344
726,3,360,1474
727,3,361,1074
728,3,361,1074
729,3,361,1074
730,3,362,609
731,3,363,609
732,3,364,609
733,3,364,609
734,3,365,609
735,3,365,609
736,3,365,609
737,3,366,609
738,3,366,609
739,3,366,609
740,3,367,609
741,3,367,609
742,3,367,1509
743,3,368,1509
744,3,369,1509
745,3,370,1509
746,3,370,1509
747,3,370,1200
748,3,371,1200
749,3,371,1200
750,3,371,1200
751,3,372,1200
752,3,372,1200
753,3,372,1200
754,3,373,1200
755,3,373,1200
756,3,373,1715
757,3,374,1715
758,3,374,1715
759,3,374,1715
760,3,375,1715
761,3,376,4029
762,3,377,4029
763,3,377,338
764,3,377,373
765,3,378,345
766,3,378,345
767,3,379,535
768,3,379,535
769,3,379,535
770,3,380,535
771,3,380,535
772,3,380,535
773,3,381,535
774,3,381,535
775,3,382,535
776,3,382,535
777,3,383,535
778,3,383,535
779,3,383,535
780,3,384,535
781,3,384,535
782,3,384,535
783,3,385,535
784,3,385,535
785,3,385,535
786,3,386,535
787,3,387,535
788,3,388,535
789,3,389,535
790,3,390,535
791,3,391,535
792,3,392,535
793,3,392,535
794,3,392,535
795,3,393,535
796,3,394,535
797,3,394,1455
798,3,394,1455
799,3,395,1626
800,3,395,1626
801,3,396,1626
802,3,396,1626
803,3,396,1626
804,3,397,1626
805,3,397,1626
806,3,397,1626
807,3,398,1626
808,3,398,1626
809,3,399,1626
810,3,400,1555
811,3,401,1555
812,3,402,1555
813,3,403,1555
814,3,404,1555
815,3,404,1555
816,3,405,1555
817,3,406,1555
818,3,407,1555
819,3,408,1555
820,3,408,1555
821,3,409,1555
822,3,409,1555
823,3,410,1555
824,3,411,1555
825,3,411,1555
826,3,411,1555
827,3,412,1555
828,3,413,1555
829,3,414,1555
830,3,414,1555
831,3,414,1555
832,3,415,1555
833,3,416,1555
834,3,417,1555
835,3,418,1555
836,3,419,1555
837,3,420,1066
838,3,421,4091
839,3,422,4091
840,3,423,4091
841,3,424,1051
842,3,425,1051
843,3,426,1738
844,3,426,534
845,3,427,534
846,3,428,534
847,3,428,534
848,3,429,534
849,3,429,534
850,3,429,534
851,3,430,534
852,3,430,534
853,3,430,534
854,3,431,534
855,3,432,534
856,3,433,534
857,3,434,534
858,3,435,1665
859,3,436,1665
860,3,437,1665
861,3,438,1665
862,3,439,1665
863,3,440,1665
864,3,440,1665
865,3,441,1665
866,3,441,1665
867,3,442,1665
868,3,442,1665
869,3,442,1665
870,3,443,1665
871,3,443,1665
872,3,443,1665
873,3,444,1665
874,3,444,1665
875,3,444,1665
876,3,445,1665
877,3,446,1665
878,3,446,1665
879,3,447,1665
880,3,447,1665
881,3,447,1665
882,3,448,1665
883,3,448,1665
884,3,448,1665
885,3,449,1665
886,3,449,1665
887,3,449,1665
888,3,450,1665
889,3,450,1665
890,3,450,1665
891,3,451,1665
892,3,451,1665
893,3,452,1665
894,3,452,1665
895,3,453,1665
896,3,453,1665
897,3,454,1665
898,3,454,1665
899,3,455,1665
900,3,455,1665
901,3,455,1665
902,3,456,1665
903,3,456,1665
904,3,456,1665
905,3,457,1665
906,3,457,342
907,3,457,342
908,3,458,342
909,3,459,342
910,3,460,342
911,3,461,342
912,3,461,1452
913,3,462,1452
914,3,462,1452
915,3,462,1452
916,3,463,1452
917,3,463,1452
918,3,463,1452
919,3,464,1452
920,3,464,1452
921,3,464,1130
922,3,465,1225
923,3,466,1225
924,3,466,1225
925,3,466,1225
926,3,467,1225
927,3,468,1225
928,3,468,1225
929,3,469,1225
930,3,470,1225
931,3,470,1225
932,3,471,1225
933,3,471,1225
934,3,472,1225
935,3,472,1225
936,3,472,1225
937,3,474,1225
938,3,475,1610
939,3,476,533
940,3,477,533
941,3,478,533
942,3,478,520
943,3,478,520
944,3,479,499
945,3,479,499
946,3,479,499
947,3,480,499
948,3,480,1468
949,3,481,1468
950,3,481,1468
951,3,481,1468
952,3,482,1468
953,3,482,1468
954,3,483,1468
955,3,484,1468
956,3,484,1479
957,3,485,1479
958,3,485,1479
959,3,485,1479
960,3,486,16
961,3,486,16
962,3,486,16
963,3,487,1458
964,3,488,1458
965,3,488,1456
966,3,489,669
967,3,489,669
968,3,489,669
969,3,490,669
970,3,491,669
971,3,491,669
972,3,492,669
973,3,492,1197
974,3,493,1197
975,3,493,1213
976,3,493,502
977,3,494,502
978,3,495,502
979,3,495,502
980,3,495,502
981,3,496,502
982,3,496,502
983,3,497,502
984,3,497,502
985,3,497,502
986,3,498,502
987,3,498,502
988,3,498,502
989,3,499,502
990,3,499,502
991,3,499,502
992,3,500,502
993,3,500,502
994,3,500,502
995,3,501,502
996,3,502,502
997,3,502,502
998,3,502,502
999,3,503,502
1000,3,503,502
1001,3,504,502
1002,3,504,502
1003,3,505,502
1004,3,505,502
1005,3,506,502
1006,3,507,502
1007,3,508,502
1008,3,508,502
1009,3,508,502
1010,3,509,502
1011,3,509,502
1012,3,510,502
1013,3,510,502
1014,3,510,502
1015,3,511,502
1016,3,512,502
1017,3,512,502
1018,3,513,502
1019,3,513,502
1020,3,513,502
1021,3,514,502
1022,3,515,502
1023,3,516,502
1024,3,517,502
1025,3,517,502
1026,3,518,502
1027,3,519,502
1028,3,520,502
1029,3,520,502
1030,3,521,502
1031,3,522,502
1032,3,522,502
1033,3,522,502
1034,3,523,502
1035,3,524,502
1036,3,524,502
1037,3,525,502
1038,3,526,502
1039,3,526,502
1040,3,526,502
1041,3,528,502
1042,3,529,502
1043,3,530,502
1044,3,530,502
1045,3,530,502
1046,3,531,502
1047,3,532,502
1048,3,532,502
1049,3,532,502
1050,3,533,502
1051,3,533,502
1052,3,534,502
1053,3,534,502
1054,3,534,502
1055,3,535,502
1056,3,536,502
1057,3,536,502
1058,3,537,502
1059,3,537,502
1060,3,537,502
1061,3,538,502
1062,3,539,502
1063,3,539,502
1064,3,539,502
1065,3,540,502
1066,3,540,502
1067,3,540,502
1068,3,541,502
1069,3,541,502
1070,3,541,502
1071,3,542,502
1072,3,543,502
1073,3,543,502
1074,3,36,1399
1075,3,544,1399
1076,3,544,1399
1077,3,545,1399
1078,3,545,1529
1079,3,546,1529
1080,3,546,1529
1081,3,547,1638
1082,3,548,1638
1083,3,548,1638
1084,3,548,1638
1085,3,549,1638
1086,3,550,1638
1087,3,550,1638
1088,3,550,1638
1089,3,551,1638
1090,3,551,1638
1091,3,552,1638
1092,3,553,1638
1093,3,554,1638
1094,3,555,1638
1095,3,556,1638
1096,3,556,1638
1097,3,557,1638
1098,3,557,1638
1099,3,557,1638
1100,3,558,1638
1101,3,559,1638
1102,3,560,1569
1103,3,560,1054
1104,3,561,1054
1105,3,562,491
1106,3,562,491
1107,3,563,491
1108,3,563,491
1109,3,564,491
1110,3,565,491
1111,3,565,491
1112,3,566,491
1113,3,566,491
1114,3,566,491
1115,3,567,491
1116,3,567,491
1117,3,568,491
1118,3,568,491
1119,3,569,491
1120,3,570,491
1121,3,570,491
1122,3,571,491
1123,3,571,491
1124,3,571,491
1125,3,572,491
1126,3,573,491
1127,3,573,491
1128,3,574,491
1129,3,575,491
1130,3,576,6493
1131,3,576,6493
1132,3,577,492
1133,3,578,492
1134,3,578,492
1135,3,578,492
1136,3,579,492
1137,3,579,492
1138,3,579,492
1139,3,580,492
1140,3,580,492
1141,3,580,492
1142,3,581,492
1143,3,582,492
1144,3,582,492
1145,3,582,492
1146,3,583,492
1147,3,583,492
1148,3,583,492
1149,3,584,492
1150,3,584,492
1151,3,584,492
1152,3,585,492
1153,3,586,492
1154,3,587,492
1155,3,587,492
1156,3,587,492
1157,3,588,492
1158,3,588,492
1159,3,588,492
1160,3,589,492
1161,3,589,492
1162,3,590,492
1163,3,590,492
1164,3,591,492
1165,3,591,492
1166,3,592,492
1167,3,592,492
1168,3,592,629
1169,3,593,629
1170,3,594,1132
1171,3,594,1335
1172,3,594,1335
1173,3,595,1335
1174,3,596,1335
1175,3,596,1335
1176,3,597,1335
1177,3,597,1335
1178,3,597,1335
1179,3,599,1335
1180,3,599,1335
1181,3,599,1335
1182,3,600,1335
1183,3,600,1335
1184,3,601,1335
1185,3,602,1335
1186,3,602,1335
1187,3,603,1335
1188,3,603,1335
1189,3,603,1335
1190,3,604,1335
1191,3,604,1335
1192,3,604,1335
1193,3,605,1335
1194,3,607,1335
1195,3,607,1335
1196,3,607,1335
1197,3,608,1335
1198,3,609,1229
1199,3,610,1229
1200,3,611,1229
1201,3,611,1229
1202,3,611,1229
1203,3,612,1229
1204,3,613,1229
1205,3,613,1229
1206,3,614,1229
1207,3,614,1229
1208,3,615,1229
1209,3,615,1229
1210,3,616,1229
1211,3,617,1231
1212,3,617,1231
1213,3,618,1231
1214,3,619,1231
1215,3,619,1231
1216,3,619,1231
1217,3,621,1231
1218,3,621,478
1219,3,621,478
1220,3,622,478
1221,3,622,478
1222,3,622,478
1223,3,623,478
1224,3,624,478
1225,3,625,478
1226,3,625,478
1227,3,625,478
1228,3,626,478
1229,3,626,478
1230,3,626,478
1231,3,627,478
1232,3,627,478
1233,3,627,478
1234,3,628,478
1235,3,628,478
1236,3,628,478
1237,3,629,478
1238,3,629,478
1239,3,630,478
1240,3,630,478
1241,3,630,478
1242,3,631,478
1243,3,631,478
1244,3,631,478
1245,3,632,478
1246,3,632,478
1247,3,632,478
1248,3,633,478
1249,3,634,478
1250,3,635,1227
1251,3,636,1227
1252,3,636,1606
1253,3,637,1606
1254,3,638,1606
1255,3,639,1606
1256,3,639,1606
1257,3,639,1606
1258,3,640,1359
1259,3,641,1359
1260,3,642,1353
1261,3,642,1353
1262,3,643,346
1263,3,643,346
1264,3,644,346
1265,3,644,346
1266,3,644,1524
1267,3,645,1524
1268,3,646,1524
1269,3,647,1524
1270,3,648,1524
1271,3,649,1524
1272,3,650,1524
1273,3,650,1524
1274,3,651,1524
1275,3,651,1524
1276,3,651,1524
1277,3,652,1524
1278,3,653,1524
1279,3,654,1524
1280,3,655,1524
1281,3,655,1524
1282,3,656,1524
1283,3,656,1524
1284,3,657,1524
1285,3,657,1524
1286,3,657,1524
1287,3,658,1524
1288,3,658,1524
1289,3,659,1524
1290,3,659,1524
1291,3,659,1524
1292,3,660,1524
1293,3,660,1524
1294,3,660,1524
1295,3,662,1524
1296,3,662,1524
1297,3,662,1524
1298,3,663,1524
1299,3,663,1524
1300,3,664,1524
1301,3,665,1524
1302,3,665,1524
1303,3,665,1524
1304,3,666,1524
1305,3,666,1524
1306,3,666,1524
1307,3,667,1524
1308,3,668,1524
1309,3,668,1524
1310,3,669,1524
1311,3,670,1524
1312,3,670,1524
1313,3,670,1561
1314,3,671,1561
1315,3,671,1561
1316,3,671,1561
1317,3,673,1561
1318,3,673,1561
1319,3,673,1561
1320,3,674,1561
1321,3,674,1561
1322,3,675,1561
1323,3,675,1561
1324,3,675,1561
1325,3,676,1561
1326,3,676,1561
1327,3,676,1354
1328,3,677,1354
1329,3,677,1354
1330,3,678,1354
1331,3,678,1354
1332,3,678,1354
1333,3,679,1354
1334,3,679,1354
1335,3,680,1354
1336,3,680,1354
1337,3,680,1354
1338,3,681,1354
1339,3,682,1354
1340,3,682,1354
1341,3,682,1354
1342,3,683,1354
1343,3,684,1354
1344,3,684,1354
1345,3,685,1354
1346,3,685,1354
1347,3,686,1354
1348,3,686,1354
1349,3,687,1354
1350,3,687,1354
1351,3,688,521
1352,3,688,521
1353,3,688,521
1354,3,689,521
1355,3,689,521
1356,3,690,521
1357,3,690,521
1358,3,691,521
1359,3,691,521
1360,3,691,521
1361,3,692,521
1362,3,692,521
1363,3,692,481
1364,3,693,481
1365,3,694,1418
1366,3,695,1418
1367,3,695,1418
1368,3,695,1418
1369,3,696,1418
1370,3,697,1418
1371,3,698,1418
1372,3,698,1520
1373,3,698,1520
1374,3,699,1520
1375,3,699,1520
1376,3,699,1520
1377,3,700,1520
1378,3,700,1520
1379,3,700,1520
1380,3,701,1520
1381,3,702,1520
1382,3,702,1636
1383,3,703,1636
1384,3,704,1636
1385,3,704,1636
1386,3,705,1636
1387,3,705,1636
1388,3,706,1386
1389,3,706,1386
1390,3,706,1386
1391,3,707,1386
1392,3,708,1386
1393,3,708,1386
1394,3,708,1386
1395,3,709,1386
1396,3,710,1386
1397,3,711,1386
1398,3,712,1386
1399,3,713,1386
1400,3,714,1386
1401,3,714,1386
1402,3,714,1386
1403,3,715,1386
1404,3,715,1386
1405,3,715,1386
1406,3,716,1386
1407,3,717,1214
1408,3,717,1214
1409,3,717,1214
1410,3,718,1198
1411,3,719,1198
1412,3,719,1198
1413,3,720,1198
1414,3,720,1198
1415,3,721,3998
1416,3,721,3998
1417,3,721,3998
1418,3,722,3998
1419,3,722,3998
1420,3,723,3998
1421,3,723,3998
1422,3,723,3998
1423,3,724,3998
1424,3,725,3998
1425,3,725,3998
1426,3,726,3998
1427,3,726,3998
1428,3,726,3998
1429,3,727,3998
1430,3,727,3998
1431,3,727,3998
1432,3,728,3998
1433,3,728,1512
1434,3,729,1512
1435,3,729,1512
1436,3,729,1512
1437,3,730,1512
1438,3,730,1587
1439,3,730,1587
1440,3,731,1587
1441,3,731,1587
1442,3,733,1587
1443,3,733,1587
1444,3,733,1587
1445,3,734,1587
1446,3,735,1587
1447,3,735,1742
1448,3,735,1742
1449,3,736,1562
1450,3,736,1562
1451,3,736,1562
1452,3,737,1562
1453,3,737,1562
1454,3,737,1075
1455,3,738,1075
1456,3,739,1075
1457,3,740,1075
1458,3,741,1075
1459,3,741,1075
1460,3,741,1075
1461,3,742,1075
1462,3,742,1075
1463,3,742,1472
1464,3,743,1472
1465,3,745,1472
1466,3,746,1472
1467,3,746,1472
1468,3,746,4317
1469,3,748,4317
1470,3,750,1243
1471,3,750,1243
1472,3,750,1243
1473,3,751,508
1474,3,751,508
1475,3,752,508
1476,3,753,508
1477,3,753,508
1478,3,753,508
1479,3,754,508
1480,3,755,508
1481,3,755,508
1482,3,756,508
1483,3,756,508
1484,3,757,508
1485,3,757,508
1486,3,758,508
1487,3,758,1486
1488,3,759,1486
1489,3,759,1486
1490,3,759,1486
1491,3,760,1194
1492,3,761,1194
1493,3,761,1194
1494,3,762,1194
1495,3,762,1206
1496,3,763,1206
1497,3,763,1206
1498,3,763,1206
1499,3,764,1206
1500,3,765,1206
1501,3,766,1206
1502,3,767,1206
1503,3,768,1206
1504,3,768,1206
1505,3,768,4057
1506,3,769,4057
1507,3,769,4057
1508,3,769,4057
1509,3,770,4057
1510,3,771,548
1511,3,771,548
1512,3,771,548
1513,3,772,548
1514,3,772,548
1515,3,773,548
1516,3,774,548
1517,3,774,548
1518,3,774,548
1519,3,775,548
1520,3,776,548
1521,3,777,548
1522,3,778,548
1523,3,778,548
1524,3,778,548
1525,3,779,548
1526,3,779,548
1527,3,780,548
1528,3,781,548
1529,3,781,548
1530,3,782,548
1531,3,783,548
1532,3,784,548
1533,3,784,548
1534,3,785,1508
1535,3,786,1508
1536,3,786,1253
1537,3,787,1253
1538,3,787,337
