id,number,segmentId,departureTime,arrivalTime
52,V72060,4,11:25:00,14:05:53.6280000
53,V76752,4,07:15:00,10:21:53.6280000
54,V71569,4,09:50:00,12:41:53.6280000
55,V74474,5,15:56:00,18:58:53.6280000
56,V74427,5,23:52:00,1.02:46:53.6280000
57,V71392,5,08:43:00,11:48:53.6280000
58,V74473,5,13:04:00,15:46:53.6280000
59,V74796,5,14:01:00,16:41:53.6280000
60,V75783,5,17:20:00,20:17:53.6280000
61,V74571,5,15:47:00,18:29:53.6280000
62,V72983,5,18:41:00,21:29:53.6280000
63,V76098,6,17:01:00,19:30:48.2920000
64,V79786,6,22:24:00,1.01:05:48.2920000
65,V73278,6,13:23:00,16:06:48.2920000
66,V76636,6,08:25:00,11:13:48.2920000
67,V77235,6,04:48:00,07:45:48.2920000
68,V72775,6,15:49:00,18:30:48.2920000
69,V76035,6,06:37:00,09:24:48.2920000
70,V71855,6,15:21:00,17:56:48.2920000
71,V79641,6,08:50:00,11:47:48.2920000
72,V75587,6,13:54:00,16:31:48.2920000
73,V77590,6,10:10:00,12:57:48.2920000
74,V78082,6,16:01:00,18:53:48.2920000
75,V78352,6,23:05:00,1.01:59:48.2920000
76,V77911,7,1.00:39:00,1.03:16:48.2920000
77,V74567,7,13:19:00,16:14:48.2920000
78,V77821,7,14:59:00,17:47:48.2920000
79,V77395,7,10:44:00,13:30:48.2920000
80,V73065,7,02:31:00,05:06:48.2920000
81,V78452,7,09:45:00,12:29:48.2920000
82,V76927,8,13:23:00,17:06:09.9640000
83,V75813,8,20:54:00,1.00:14:09.9640000
84,V77833,8,15:34:00,18:48:09.9640000
85,V76884,8,1.00:19:00,1.03:53:09.9640000
86,V72265,8,21:30:00,1.00:51:09.9640000
87,V78107,8,03:33:00,06:48:09.9640000
88,V78547,8,03:59:00,07:24:09.9640000
89,V79365,8,18:17:00,21:52:09.9640000
90,V79249,8,17:00:00,20:37:09.9640000
91,V75951,8,1.00:12:00,1.03:29:09.9640000
92,V78186,9,17:55:00,21:18:09.9640000
93,V76953,9,10:47:00,14:09:09.9640000
94,V71452,9,10:58:00,14:21:09.9640000
95,V76100,9,08:58:00,12:16:09.9640000
96,V75216,9,02:25:00,05:39:09.9640000
97,V73974,9,21:49:00,1.01:10:09.9640000
98,V71732,9,18:35:00,22:09:09.9640000
99,V74104,9,13:14:00,16:46:09.9640000
100,V78697,9,16:36:00,20:02:09.9640000
101,V74870,10,19:53:00,22:44:54.0200000
102,V78204,10,07:39:00,10:48:54.0200000
103,V76157,10,08:32:00,11:16:54.0200000
104,V78328,10,09:15:00,12:25:54.0200000
105,V74729,10,20:34:00,23:30:54.0200000
106,V73702,10,14:33:00,17:17:54.0200000
107,V74509,10,20:45:00,23:51:54.0200000
108,V78682,10,12:25:00,15:09:54.0200000
109,V73261,10,09:48:00,12:55:54.0200000
110,V76589,10,1.00:47:00,1.03:57:54.0200000
111,V79872,10,1.00:30:00,1.03:20:54.0200000
112,V73615,10,09:20:00,12:31:54.0200000
113,V77101,11,08:28:00,11:20:54.0200000
114,V72850,11,08:56:00,11:54:54.0200000
115,V77350,11,04:19:00,07:15:54.0200000
116,V77666,11,17:11:00,20:23:54.0200000
117,V77197,11,14:01:00,16:56:54.0200000
118,V78281,11,07:59:00,10:42:54.0200000
119,V74009,11,14:21:00,17:14:54.0200000
120,V72144,11,17:58:00,21:09:54.0200000
121,V78542,11,23:55:00,1.02:38:54.0200000
122,V78699,11,1.00:21:00,1.03:17:54.0200000
123,V73452,11,07:52:00,11:04:54.0200000
124,V76807,12,20:13:00,23:41:16.4500000
125,V75938,12,17:46:00,20:55:16.4500000
126,V72575,12,04:07:00,07:19:16.4500000
127,V78649,12,06:37:00,09:54:16.4500000
128,V77248,12,17:25:00,20:35:16.4500000
129,V73108,12,10:06:00,13:14:16.4500000
130,V74258,12,17:36:00,21:01:16.4500000
131,V75057,12,14:41:00,18:00:16.4500000
132,V73969,12,08:32:00,11:56:16.4500000
133,V71032,12,15:52:00,19:08:16.4500000
134,V78709,12,03:39:00,07:07:16.4500000
135,V78217,12,17:49:00,21:00:16.4500000
136,V71386,13,12:28:00,15:49:16.4500000
137,V71911,13,08:05:00,11:32:16.4500000
138,V77504,13,08:04:00,11:13:16.4500000
139,V74236,13,12:49:00,15:54:16.4500000
140,V74317,13,18:03:00,21:33:16.4500000
141,V77783,13,16:50:00,20:02:16.4500000
142,V79432,13,14:48:00,18:11:16.4500000
143,V76412,13,04:43:00,07:48:16.4500000
144,V73911,13,18:10:00,21:21:16.4500000
145,V79380,13,09:42:00,12:57:16.4500000
146,V73482,14,05:38:00,08:24:11.7850000
147,V72232,14,1.00:53:00,1.04:00:11.7850000
148,V75242,14,17:00:00,20:08:11.7850000
149,V74144,14,20:58:00,1.00:05:11.7850000
150,V78449,14,10:32:00,13:29:11.7850000
151,V78037,15,09:00:00,12:00:11.7850000
152,V75724,15,1.00:02:00,1.02:47:11.7850000
153,V77751,15,21:31:00,1.00:23:11.7850000
154,V73120,15,13:20:00,16:25:11.7850000
155,V71313,15,04:16:00,07:01:11.7850000
156,V76197,15,08:40:00,11:46:11.7850000
157,V75895,15,19:27:00,22:25:11.7850000
158,V79361,15,08:27:00,11:38:11.7850000
159,V73544,16,12:59:00,16:22:34.1270000
160,V73317,16,13:55:00,17:01:34.1270000
161,V75086,16,12:46:00,15:56:34.1270000
162,V77283,16,16:12:00,19:14:34.1270000
163,V76719,16,16:19:00,19:45:34.1270000
164,V79023,16,08:50:00,12:13:34.1270000
165,V72698,16,02:44:00,05:52:34.1270000
166,V77047,16,16:19:00,19:28:34.1270000
167,V78795,16,17:12:00,20:28:34.1270000
168,V78405,16,17:42:00,21:02:34.1270000
169,V74670,16,17:28:00,20:35:34.1270000
170,V77117,16,21:43:00,1.00:54:34.1270000
171,V76909,16,23:02:00,1.02:18:34.1270000
172,V79701,17,19:29:00,22:36:34.1270000
173,V75206,17,15:32:00,18:56:34.1270000
174,V79708,17,03:59:00,07:05:34.1270000
175,V74401,17,20:36:00,23:49:34.1270000
176,V79116,17,06:03:00,09:10:34.1270000
177,V73458,17,11:36:00,14:57:34.1270000
178,V79558,17,01:44:00,05:07:34.1270000
179,V77443,17,21:35:00,1.01:03:34.1270000
180,V73635,18,04:09:00,06:48:47.0460000
181,V71540,18,14:30:00,16:51:47.0460000
182,V74579,18,19:46:00,22:20:47.0460000
183,V74282,18,17:01:00,19:19:47.0460000
184,V74695,18,01:47:00,04:22:47.0460000
185,V76248,18,12:45:00,15:20:47.0460000
186,V79347,18,06:03:00,08:36:47.0460000
187,V76246,18,03:33:00,06:10:47.0460000
188,V72913,18,05:45:00,08:15:47.0460000
189,V78559,18,09:24:00,11:43:47.0460000
190,V73206,19,03:38:00,06:14:47.0460000
191,V75528,19,15:41:00,18:07:47.0460000
192,V72597,19,02:02:00,04:36:47.0460000
193,V75144,19,09:13:00,11:46:47.0460000
194,V72122,19,09:29:00,12:02:47.0460000
195,V79246,19,11:41:00,14:14:47.0460000
196,V71699,20,10:48:00,13:45:13.9680000
197,V73900,20,13:59:00,16:58:13.9680000
198,V77407,20,03:02:00,06:20:13.9680000
199,V72421,20,02:15:00,05:16:13.9680000
200,V73525,20,08:04:00,11:04:13.9680000
201,V74723,20,21:45:00,1.00:59:13.9680000
202,V73868,20,13:40:00,17:00:13.9680000
203,V71783,20,15:20:00,18:27:13.9680000
204,V77051,20,16:58:00,20:14:13.9680000
205,V72742,20,18:14:00,21:29:13.9680000
206,V78347,21,01:31:00,04:49:13.9680000
207,V71733,21,04:05:00,07:23:13.9680000
208,V78055,21,02:42:00,06:01:13.9680000
209,V78740,21,19:08:00,22:05:13.9680000
210,V72246,21,21:19:00,1.00:44:13.9680000
211,V73948,21,10:40:00,14:00:13.9680000
212,V76360,21,14:25:00,17:26:13.9680000
213,V73124,21,22:03:00,1.01:22:13.9680000
214,V79923,21,02:46:00,05:57:13.9680000
215,V73001,21,14:12:00,17:11:13.9680000
216,V71098,21,06:30:00,09:35:13.9680000
217,V74212,21,18:50:00,21:57:13.9680000
218,V73241,21,20:44:00,23:53:13.9680000
219,V73985,22,22:30:00,1.01:20:22.0090000
220,V73393,22,08:11:00,10:49:22.0090000
221,V72025,22,05:13:00,07:56:22.0090000
222,V77084,22,08:50:00,11:52:22.0090000
223,V79850,22,1.00:30:00,1.03:09:22.0090000
224,V72694,22,05:40:00,08:34:22.0090000
225,V72814,22,23:35:00,1.02:26:22.0090000
226,V71191,22,06:47:00,09:47:22.0090000
227,V75767,22,09:03:00,11:44:22.0090000
228,V74310,22,06:23:00,09:17:22.0090000
229,V71689,22,16:38:00,19:21:22.0090000
230,V73934,22,14:04:00,16:47:22.0090000
231,V76428,23,01:34:00,04:27:22.0090000
232,V76082,23,17:10:00,20:02:22.0090000
233,V78343,23,07:14:00,09:55:22.0090000
234,V75143,23,07:04:00,09:55:22.0090000
235,V78931,23,12:01:00,15:03:22.0090000
236,V77701,23,15:39:00,18:32:22.0090000
237,V74034,23,10:47:00,13:43:22.0090000
238,V77254,23,09:53:00,12:38:22.0090000
239,V73196,23,20:11:00,23:05:22.0090000
240,V77917,23,16:04:00,19:03:22.0090000
241,V78827,23,12:48:00,15:27:22.0090000
242,V78206,23,13:34:00,16:11:22.0090000
243,V74211,24,03:25:00,06:19:55.2390000
244,V77535,24,20:07:00,23:04:55.2390000
245,V79277,24,13:49:00,16:18:55.2390000
246,V79181,24,06:00:00,08:49:55.2390000
247,V79492,24,08:23:00,11:13:55.2390000
248,V75250,24,08:00:00,10:55:55.2390000
249,V79143,24,07:44:00,10:23:55.2390000
250,V78736,24,17:14:00,19:46:55.2390000
251,V77515,24,22:30:00,1.01:24:55.2390000
252,V71923,24,18:39:00,21:34:55.2390000
253,V74667,24,21:48:00,1.00:18:55.2390000
254,V79049,24,22:07:00,1.00:41:55.2390000
255,V72764,24,17:43:00,20:23:55.2390000
256,V77660,24,07:04:00,09:52:55.2390000
257,V74055,25,01:19:00,04:12:55.2390000
258,V79112,25,23:29:00,1.02:09:55.2390000
259,V75487,25,1.00:08:00,1.02:50:55.2390000
260,V77242,25,1.00:15:00,1.02:46:55.2390000
261,V73835,25,15:14:00,17:54:55.2390000
262,V77451,25,12:19:00,14:52:55.2390000
263,V77609,25,10:33:00,13:12:55.2390000
264,V76054,25,07:44:00,10:25:55.2390000
265,V75852,25,06:54:00,09:26:55.2390000
266,V77889,25,23:19:00,1.02:03:55.2390000
267,V78033,25,17:01:00,19:59:55.2390000
268,V78005,25,08:53:00,11:36:55.2390000
269,V71016,25,15:39:00,18:18:55.2390000
270,V75334,25,18:38:00,21:26:55.2390000
271,V77726,25,07:24:00,10:08:55.2390000
272,V76983,25,03:01:00,05:35:55.2390000
273,V71333,26,15:33:00,18:13:38.5560000
274,V76097,26,04:59:00,07:49:38.5560000
275,V74602,26,19:34:00,22:26:38.5560000
276,V73861,26,08:04:00,10:39:38.5560000
277,V74145,26,19:52:00,22:29:38.5560000
278,V73583,26,03:05:00,05:56:38.5560000
279,V73460,26,03:41:00,06:34:38.5560000
280,V73674,26,22:12:00,1.00:41:38.5560000
281,V76062,26,10:48:00,13:15:38.5560000
282,V71807,27,19:05:00,21:57:38.5560000
283,V75199,27,06:36:00,09:09:38.5560000
284,V73000,27,16:10:00,18:46:38.5560000
285,V76447,27,20:44:00,23:25:38.5560000
286,V75782,27,04:44:00,07:30:38.5560000
287,V72705,28,16:40:00,19:32:22
288,V79301,28,18:02:00,20:44:22
289,V73670,28,22:52:00,1.01:54:22
290,V72558,28,09:49:00,12:42:22
291,V74927,28,11:47:00,14:38:22
292,V74956,28,09:15:00,12:18:22
293,V73060,28,10:48:00,13:22:22
294,V75986,28,18:57:00,21:32:22
295,V75366,28,02:51:00,05:27:22
296,V72669,28,12:21:00,14:59:22
297,V71896,28,01:02:00,03:41:22
298,V78178,28,01:46:00,04:36:22
299,V72981,29,11:00:00,13:36:22
300,V72684,29,18:26:00,21:11:22
301,V72446,29,12:33:00,15:09:22
302,V72783,29,13:02:00,16:04:22
303,V74295,29,20:50:00,23:49:22
304,V75100,29,1.00:50:00,1.03:33:22
305,V72313,29,07:53:00,10:56:22
306,V71841,29,04:14:00,07:08:22
307,V71914,29,11:31:00,14:23:22
308,V78588,29,14:49:00,17:38:22
309,V75740,30,22:49:00,1.01:39:46.1610000
310,V78924,30,09:58:00,12:49:46.1610000
311,V74818,30,15:06:00,17:57:46.1610000
312,V71796,30,18:21:00,20:54:46.1610000
313,V76944,30,21:04:00,23:45:46.1610000
314,V73130,30,13:27:00,15:55:46.1610000
315,V72497,30,06:37:00,09:11:46.1610000
316,V73350,30,03:22:00,05:53:46.1610000
317,V73566,30,21:50:00,1.00:37:46.1610000
318,V75914,30,02:02:00,04:56:46.1610000
319,V79618,30,15:47:00,18:31:46.1610000
320,V71399,30,18:54:00,21:40:46.1610000
321,V76489,31,1.00:54:00,1.03:28:46.1610000
322,V78742,31,1.00:25:00,1.03:19:46.1610000
323,V75646,31,01:53:00,04:49:46.1610000
324,V79719,31,01:33:00,04:02:46.1610000
325,V71741,31,12:17:00,14:51:46.1610000
326,V74090,31,02:03:00,04:39:46.1610000
327,V71148,31,15:50:00,18:35:46.1610000
328,V75386,31,16:01:00,18:41:46.1610000
329,V72065,31,09:03:00,11:42:46.1610000
330,V73268,32,05:40:00,09:44:22.1270000
331,V73303,32,12:44:00,16:32:22.1270000
332,V75996,32,09:38:00,13:46:22.1270000
333,V71948,32,11:35:00,15:43:22.1270000
334,V72123,32,07:56:00,11:49:22.1270000
335,V72573,32,02:11:00,06:23:22.1270000
336,V74611,32,20:45:00,1.00:34:22.1270000
337,V77541,32,11:32:00,15:28:22.1270000
338,V71448,33,18:29:00,23:21:22.1270000
339,V72039,33,1.00:56:00,1.06:08:22.1270000
340,V75935,33,12:09:00,17:09:22.1270000
341,V75204,33,05:08:00,10:12:22.1270000
342,V74156,33,07:29:00,12:12:22.1270000
343,V71028,33,20:49:00,1.01:54:22.1270000
344,V74781,33,22:05:00,1.02:56:22.1270000
345,V77766,33,16:27:00,21:24:22.1270000
346,V74476,33,09:46:00,14:37:22.1270000
347,V78032,34,12:26:00,15:18:46.9350000
348,V79946,34,03:51:00,06:36:46.9350000
349,V74833,34,21:19:00,1.00:06:46.9350000
350,V73369,34,11:35:00,14:38:46.9350000
351,V79123,34,18:18:00,21:21:46.9350000
352,V76017,34,23:26:00,1.02:07:46.9350000
353,V78570,34,02:47:00,05:39:46.9350000
354,V72946,34,14:58:00,17:35:46.9350000
355,V76226,35,19:38:00,22:23:46.9350000
356,V73747,35,07:04:00,09:54:46.9350000
357,V77165,35,02:37:00,05:18:46.9350000
358,V71336,35,23:44:00,1.02:39:46.9350000
359,V74716,35,1.00:09:00,1.02:58:46.9350000
360,V78248,35,03:46:00,06:30:46.9350000
361,V76632,35,05:31:00,08:21:46.9350000
362,V76560,35,14:41:00,17:28:46.9350000
363,V77863,35,07:31:00,10:31:46.9350000
364,V73836,35,16:00:00,18:46:46.9350000
365,V76966,35,18:40:00,21:35:46.9350000
366,V78838,36,16:55:00,20:21:16.0250000
367,V79868,36,19:21:00,22:59:16.0250000
368,V76177,36,04:24:00,07:39:16.0250000
369,V71941,36,18:57:00,22:30:16.0250000
370,V77912,36,18:51:00,22:10:16.0250000
371,V75841,36,10:02:00,13:22:16.0250000
372,V73497,36,19:43:00,23:14:16.0250000
373,V71327,37,18:28:00,21:42:16.0250000
374,V75042,37,17:20:00,20:47:16.0250000
375,V76230,37,19:21:00,22:59:16.0250000
376,V73708,37,10:47:00,14:24:16.0250000
377,V71096,37,02:47:00,06:11:16.0250000
378,V72250,37,02:24:00,05:54:16.0250000
379,V73324,37,01:10:00,04:52:16.0250000
380,V77295,37,15:48:00,19:03:16.0250000
381,V76088,37,04:15:00,07:56:16.0250000
382,V75326,38,17:25:00,20:14:34.9830000
383,V71944,38,02:06:00,05:19:34.9830000
384,V78721,38,03:52:00,06:41:34.9830000
385,V74183,38,19:16:00,22:29:34.9830000
386,V77313,38,11:01:00,14:10:34.9830000
387,V77446,38,23:08:00,1.02:21:34.9830000
388,V79024,38,16:42:00,19:55:34.9830000
389,V75931,38,01:21:00,04:27:34.9830000
390,V78848,38,13:43:00,16:40:34.9830000
391,V77468,39,06:05:00,09:00:34.9830000
392,V74316,39,12:49:00,16:03:34.9830000
393,V76765,39,01:28:00,04:14:34.9830000
394,V73834,39,02:56:00,05:59:34.9830000
395,V79316,39,22:53:00,1.01:44:34.9830000
396,V78660,39,19:49:00,22:48:34.9830000
397,V76321,39,19:00:00,21:48:34.9830000
398,V72460,39,22:28:00,1.01:16:34.9830000
399,V77836,39,03:48:00,06:38:34.9830000
400,V78937,39,15:50:00,18:45:34.9830000
401,V74642,39,18:38:00,21:47:34.9830000
402,V73253,39,05:10:00,08:05:34.9830000
403,V79376,40,04:41:00,07:58:42.8250000
404,V76946,40,05:54:00,09:11:42.8250000
405,V77553,40,17:51:00,21:00:42.8250000
406,V77012,40,09:15:00,12:21:42.8250000
407,V72187,40,05:50:00,08:58:42.8250000
408,V74924,40,09:18:00,12:29:42.8250000
409,V76745,40,05:26:00,08:28:42.8250000
410,V73928,40,19:38:00,22:58:42.8250000
411,V78551,40,08:08:00,11:25:42.8250000
412,V76314,40,01:26:00,04:43:42.8250000
413,V72707,41,07:50:00,10:52:42.8250000
414,V71179,41,18:10:00,21:22:42.8250000
415,V73571,41,14:54:00,18:12:42.8250000
416,V72724,41,02:09:00,05:24:42.8250000
417,V76023,41,03:11:00,06:29:42.8250000
418,V79151,42,19:43:00,23:08:28.9220000
419,V79668,42,05:55:00,09:10:28.9220000
420,V79661,42,08:22:00,11:24:28.9220000
421,V72810,42,1.00:05:00,1.03:28:28.9220000
422,V72262,42,07:39:00,11:04:28.9220000
423,V71677,42,11:19:00,14:29:28.9220000
424,V73139,42,17:58:00,21:23:28.9220000
425,V71871,42,20:51:00,1.00:12:28.9220000
426,V72954,42,23:13:00,1.02:27:28.9220000
427,V76760,42,08:42:00,11:56:28.9220000
428,V72842,42,11:55:00,15:19:28.9220000
429,V75755,42,04:55:00,08:14:28.9220000
430,V77589,43,02:42:00,05:51:28.9220000
431,V77411,43,13:26:00,16:50:28.9220000
432,V74187,43,12:05:00,15:01:28.9220000
433,V74454,43,02:51:00,06:04:28.9220000
434,V74425,43,20:06:00,23:10:28.9220000
435,V74083,43,12:02:00,15:00:28.9220000
436,V74268,43,01:53:00,04:50:28.9220000
437,V75977,43,07:19:00,10:42:28.9220000
438,V75037,44,21:27:00,1.00:04:06.8130000
439,V72605,44,09:20:00,12:19:06.8130000
440,V77196,44,07:13:00,09:52:06.8130000
441,V76552,44,20:09:00,22:45:06.8130000
442,V73959,44,15:12:00,18:12:06.8130000
443,V73715,44,13:52:00,16:45:06.8130000
444,V73449,44,12:26:00,15:25:06.8130000
445,V71743,44,20:33:00,23:29:06.8130000
446,V72601,44,12:17:00,15:14:06.8130000
447,V73063,44,09:45:00,12:24:06.8130000
448,V79332,44,03:00:00,06:02:06.8130000
449,V71725,44,10:41:00,13:17:06.8130000
450,V78016,44,12:19:00,15:04:06.8130000
451,V74080,44,04:58:00,07:54:06.8130000
452,V77190,45,19:51:00,22:44:06.8130000
453,V72839,45,16:01:00,18:46:06.8130000
454,V78187,45,09:58:00,12:50:06.8130000
455,V77559,45,17:02:00,19:55:06.8130000
456,V73839,45,05:07:00,07:54:06.8130000
457,V73043,45,14:29:00,17:12:06.8130000
458,V77671,45,15:01:00,17:47:06.8130000
459,V76521,45,04:17:00,07:12:06.8130000
460,V76045,45,08:59:00,12:01:06.8130000
461,V71719,45,23:44:00,1.02:42:06.8130000
462,V79367,45,10:50:00,13:46:06.8130000
463,V79184,46,16:44:00,19:21:19.4360000
464,V79167,46,19:13:00,21:53:19.4360000
465,V76544,46,01:02:00,03:59:19.4360000
466,V75816,46,11:39:00,14:30:19.4360000
467,V73329,46,23:49:00,1.02:37:19.4360000
468,V78306,46,04:46:00,07:38:19.4360000
469,V74821,46,02:16:00,05:05:19.4360000
470,V79321,46,11:42:00,14:22:19.4360000
471,V76778,46,01:39:00,04:40:19.4360000
472,V72464,46,01:41:00,04:13:19.4360000
473,V77994,46,11:51:00,14:43:19.4360000
474,V73936,47,12:34:00,15:15:19.4360000
475,V74572,47,10:47:00,13:36:19.4360000
476,V78873,47,1.00:05:00,1.02:37:19.4360000
477,V78572,47,10:54:00,13:31:19.4360000
478,V78255,47,08:16:00,11:12:19.4360000
479,V72886,47,18:36:00,21:08:19.4360000
480,V79292,47,05:28:00,08:06:19.4360000
481,V79908,47,14:39:00,17:16:19.4360000
482,V77445,47,08:19:00,11:09:19.4360000
483,V72612,47,10:50:00,13:25:19.4360000
484,V77758,47,05:14:00,08:04:19.4360000
485,V74985,47,05:41:00,08:34:19.4360000
486,V71712,47,07:58:00,10:58:19.4360000
487,V72844,47,08:18:00,11:16:19.4360000
488,V76295,48,09:23:00,12:51:15.0710000
489,V76892,48,1.00:17:00,1.03:54:15.0710000
490,V71747,48,04:29:00,07:45:15.0710000
491,V72725,48,10:46:00,14:02:15.0710000
492,V78322,48,12:26:00,15:58:15.0710000
493,V78534,48,01:38:00,04:55:15.0710000
494,V76591,48,21:12:00,1.00:47:15.0710000
495,V76957,48,18:08:00,21:28:15.0710000
496,V77205,48,09:38:00,12:53:15.0710000
497,V74810,48,07:51:00,11:27:15.0710000
498,V74584,48,19:50:00,23:13:15.0710000
499,V76932,48,08:44:00,12:16:15.0710000
500,V75963,48,09:11:00,12:38:15.0710000
501,V79293,48,02:12:00,05:49:15.0710000
502,V74795,48,01:56:00,05:21:15.0710000
503,V75998,48,07:00:00,10:33:15.0710000
504,V72454,48,01:44:00,05:00:15.0710000
505,V72743,49,23:36:00,1.02:55:15.0710000
506,V73129,49,16:30:00,19:43:15.0710000
507,V79206,49,10:23:00,13:53:15.0710000
508,V71310,49,13:12:00,16:31:15.0710000
509,V75113,49,01:32:00,05:11:15.0710000
510,V71100,49,13:33:00,17:09:15.0710000
511,V75301,49,07:09:00,10:25:15.0710000
512,V74825,49,21:04:00,1.00:44:15.0710000
513,V76284,49,13:10:00,16:46:15.0710000
514,V77247,49,1.00:08:00,1.03:39:15.0710000
515,V76162,49,1.00:42:00,1.04:16:15.0710000
516,V71057,49,05:45:00,09:12:15.0710000
517,V78245,49,1.00:54:00,1.04:13:15.0710000
518,V72941,50,05:35:00,08:38:55.6190000
519,V75686,50,19:19:00,22:15:55.6190000
520,V76342,50,19:45:00,22:39:55.6190000
521,V74491,50,10:23:00,13:10:55.6190000
522,V77061,50,12:44:00,15:33:55.6190000
523,V72935,50,08:49:00,11:40:55.6190000
524,V74597,50,10:17:00,13:05:55.6190000
525,V78096,50,16:38:00,19:31:55.6190000
526,V78470,50,08:26:00,11:11:55.6190000
527,V73972,50,12:08:00,15:13:55.6190000
528,V72930,50,11:56:00,14:59:55.6190000
529,V77006,51,17:33:00,20:47:55.6190000
530,V77391,51,19:38:00,22:43:55.6190000
531,V75580,51,20:51:00,23:54:55.6190000
532,V75507,51,10:12:00,13:17:55.6190000
533,V72855,51,13:40:00,16:29:55.6190000
534,V71093,51,03:46:00,06:52:55.6190000
535,V71536,51,12:23:00,15:23:55.6190000
536,V76628,51,19:39:00,22:46:55.6190000
537,V72984,51,20:28:00,23:25:55.6190000
538,V71713,51,1.00:26:00,1.03:39:55.6190000
539,V76539,52,19:10:00,22:02:48.0250000
540,V73400,52,09:18:00,12:34:48.0250000
541,V71006,52,05:01:00,07:49:48.0250000
542,V73962,52,03:29:00,06:29:48.0250000
543,V72730,52,18:06:00,21:08:48.0250000
544,V78209,52,05:43:00,08:48:48.0250000
545,V76481,52,04:51:00,08:02:48.0250000
546,V77926,52,1.00:30:00,1.03:26:48.0250000
547,V73580,52,19:45:00,22:58:48.0250000
548,V72832,52,19:08:00,22:02:48.0250000
549,V71984,52,21:18:00,1.00:31:48.0250000
550,V71432,52,13:42:00,16:56:48.0250000
551,V78970,52,14:07:00,17:22:48.0250000
552,V73426,52,18:35:00,21:45:48.0250000
553,V78915,52,22:06:00,1.01:13:48.0250000
554,V72149,52,16:48:00,19:37:48.0250000
555,V73030,53,20:29:00,23:31:48.0250000
556,V73780,53,02:27:00,05:36:48.0250000
557,V73422,53,19:17:00,22:06:48.0250000
558,V72962,53,10:54:00,13:48:48.0250000
559,V74399,53,15:06:00,17:55:48.0250000
560,V74314,53,09:44:00,12:52:48.0250000
561,V79177,53,04:41:00,07:45:48.0250000
562,V77814,53,10:47:00,13:57:48.0250000
563,V73476,53,03:11:00,06:08:48.0250000
564,V77742,53,06:23:00,09:37:48.0250000
565,V74672,53,23:28:00,1.02:43:48.0250000
566,V79806,53,11:52:00,15:00:48.0250000
567,V73542,53,12:55:00,15:46:48.0250000
568,V79343,54,06:53:00,09:26:09.7880000
569,V77264,54,07:47:00,10:29:09.7880000
570,V79545,54,22:21:00,1.00:53:09.7880000
571,V72911,54,22:01:00,1.00:33:09.7880000
572,V71074,54,23:35:00,1.02:19:09.7880000
573,V76433,54,21:04:00,23:39:09.7880000
574,V71276,54,05:49:00,08:21:09.7880000
575,V75354,54,07:08:00,09:54:09.7880000
